Log_ID,Timestamp,Action,User_Role,Data_Accessed,Compliance_Flag
1,2021-02-27,DATA_MASK,System,Financial,OK
2,2021-01-17,UPDATE,System,PII,OK
3,2025-11-21,UPDATE,Analyst,PII,OK
4,2024-08-10,MODEL_RUN,System,PII,Violation
5,2021-05-15,UPDATE,Analyst,Financial,OK
6,2022-05-07,DATA_MASK,System,PII,OK
7,2022-11-15,VIEW,Analyst,Financial,OK
8,2025-10-01,UPDATE,System,PII,OK
9,2022-04-18,DATA_MASK,Analyst,PII,OK
10,2022-10-04,UPDATE,Admin,PII,OK
11,2023-05-26,DATA_MASK,Admin,PII,OK
12,2021-10-25,MODEL_RUN,System,PII,OK
13,2021-05-08,UPDATE,Analyst,Financial,OK
14,2025-11-19,MODEL_RUN,Analyst,Financial,OK
15,2023-03-19,MODEL_RUN,Admin,PII,OK
16,2022-07-21,UPDATE,System,Financial,OK
17,2025-10-01,UPDATE,Admin,Financial,OK
18,2023-06-19,UPDATE,System,PII,OK
19,2023-02-10,MODEL_RUN,Analyst,Financial,OK
20,2022-04-24,VIEW,System,Financial,OK
21,2024-11-20,UPDATE,Admin,Financial,OK
22,2024-10-20,UPDATE,Admin,PII,OK
23,2025-03-01,MODEL_RUN,Admin,Financial,OK
24,2024-11-01,MODEL_RUN,Analyst,PII,OK
25,2021-03-06,UPDATE,Admin,Financial,OK
26,2021-03-11,MODEL_RUN,Admin,PII,Violation
27,2022-12-09,MODEL_RUN,Admin,PII,OK
28,2024-02-22,VIEW,Admin,PII,OK
29,2024-06-07,DATA_MASK,Admin,Financial,OK
30,2025-06-01,DATA_MASK,System,PII,Violation
31,2023-11-19,UPDATE,System,Financial,OK
32,2025-10-16,VIEW,System,Financial,OK
33,2024-06-21,VIEW,Analyst,PII,OK
34,2024-08-26,MODEL_RUN,Analyst,PII,OK
35,2025-12-14,DATA_MASK,Admin,PII,OK
36,2023-06-20,MODEL_RUN,Admin,PII,OK
37,2024-01-22,MODEL_RUN,System,Financial,OK
38,2021-12-04,VIEW,Analyst,Financial,OK
39,2021-11-04,MODEL_RUN,Admin,PII,OK
40,2025-11-14,VIEW,Analyst,Financial,OK
41,2023-11-17,MODEL_RUN,Admin,Financial,OK
42,2023-11-18,VIEW,System,Financial,OK
43,2024-02-10,DATA_MASK,Admin,Financial,Violation
44,2021-01-05,DATA_MASK,System,Financial,OK
45,2025-12-23,DATA_MASK,System,PII,OK
46,2025-04-28,MODEL_RUN,Admin,PII,OK
47,2025-12-23,DATA_MASK,Analyst,PII,OK
48,2023-08-09,UPDATE,System,Financial,OK
49,2025-01-17,UPDATE,Analyst,Financial,OK
50,2022-02-19,MODEL_RUN,Admin,PII,OK
51,2021-07-11,MODEL_RUN,Analyst,PII,OK
52,2025-12-12,UPDATE,Analyst,Financial,OK
53,2022-05-08,UPDATE,Analyst,Financial,OK
54,2025-02-02,MODEL_RUN,System,PII,OK
55,2022-07-29,DATA_MASK,Admin,Financial,OK
56,2023-01-04,DATA_MASK,Admin,PII,OK
57,2021-03-02,MODEL_RUN,System,PII,OK
58,2022-08-14,VIEW,Admin,PII,Violation
59,2025-02-01,MODEL_RUN,Analyst,Financial,OK
60,2025-05-03,VIEW,Analyst,PII,OK
61,2023-12-19,DATA_MASK,System,Financial,OK
62,2021-04-15,VIEW,Admin,PII,OK
63,2021-05-03,UPDATE,Analyst,PII,OK
64,2021-12-26,MODEL_RUN,Admin,Financial,OK
