Score_ID,Customer_ID,Score_Value,Risk_Band,Model_Version,Decision
1,1,789,Low,v1,Reject
2,2,612,High,v2,Approve
3,3,561,High,v1,Approve
4,4,719,Medium,v2,Reject
5,5,837,Medium,v1,Approve
6,6,347,High,v2,Approve
7,7,644,Medium,v2,Approve
8,8,705,Medium,v1,Approve
9,9,789,Medium,v2,Approve
10,10,494,Low,v2,Reject
11,11,339,Low,v2,Reject
12,12,644,Medium,v2,Reject
13,13,721,Medium,v1,Reject
14,14,343,Low,v1,Reject
15,15,626,Low,v2,Reject
16,16,728,Low,v1,Reject
17,17,538,Medium,v2,Approve
18,18,457,High,v2,Reject
19,19,791,Low,v2,Approve
20,20,511,Low,v2,Approve
21,21,483,Low,v2,Reject
22,22,390,Medium,v1,Reject
23,23,588,Medium,v2,Reject
24,24,380,Medium,v2,Reject
25,25,650,Low,v2,Approve
26,26,396,Medium,v2,Reject
27,27,494,Medium,v2,Approve
28,28,811,Medium,v2,Approve
29,29,492,Medium,v2,Reject
30,30,380,Medium,v2,Reject
31,31,823,High,v2,Approve
32,32,307,Low,v2,Reject
33,33,587,Medium,v1,Approve
34,34,377,High,v2,Approve
35,35,361,Low,v2,Approve
36,36,651,Medium,v1,Reject
37,37,376,Low,v1,Approve
38,38,800,Low,v1,Approve
39,39,482,High,v2,Reject
40,40,341,Low,v2,Approve
41,41,828,Medium,v2,Reject
42,42,462,High,v1,Approve
43,43,645,Medium,v1,Reject
44,44,771,Medium,v2,Reject
45,45,482,Medium,v2,Reject
46,46,438,Medium,v2,Reject
47,47,753,Low,v1,Reject
48,48,480,Medium,v1,Reject
49,49,704,High,v1,Approve
50,50,351,Low,v2,Approve
51,51,571,Low,v2,Approve
52,52,777,Low,v2,Reject
53,53,804,Low,v1,Approve
54,54,533,Medium,v1,Reject
55,55,416,High,v2,Approve
56,56,626,Low,v1,Reject
57,57,422,High,v2,Reject
58,58,659,Medium,v1,Reject
59,59,487,High,v2,Approve
60,60,745,Low,v1,Approve
61,61,354,High,v2,Approve
62,62,767,Medium,v2,Reject
63,63,490,Low,v1,Reject
64,64,315,Medium,v2,Reject
65,65,490,Medium,v2,Reject
66,66,673,High,v1,Reject
67,67,762,Low,v1,Approve
68,68,331,Low,v1,Approve
69,69,514,High,v2,Reject
70,70,445,Low,v2,Reject
71,71,483,High,v1,Approve
72,72,640,Medium,v1,Approve
73,73,535,High,v1,Reject
74,74,642,Low,v1,Reject
75,75,320,High,v1,Approve
76,76,416,Medium,v1,Approve
77,77,312,High,v2,Reject
78,78,518,Low,v1,Approve
79,79,800,Medium,v1,Reject
80,80,342,Low,v1,Approve
81,81,417,Low,v2,Approve
82,82,664,High,v2,Approve
83,83,326,Low,v2,Reject
84,84,559,Low,v2,Approve
85,85,624,High,v2,Approve
86,86,338,High,v2,Reject
87,87,402,Low,v1,Reject
88,88,716,Low,v2,Reject
