Customer_ID,Parish,Age,Employment_Status,Annual_Income,Risk_Profile,KYC_Status
1,Manchester,55,Unemployed,3815624,Medium,Verified
2,Clarendon,65,Unemployed,7353968,Medium,Pending
3,St. James,29,Unemployed,4937192,High,Verified
4,Clarendon,58,Self-Employed,2932162,High,Verified
5,Clarendon,50,Unemployed,4917386,Low,Verified
6,St. Catherine,64,Unemployed,2495625,Medium,Verified
7,St. James,54,Unemployed,5773232,Medium,Verified
8,St. James,52,Employed,2762160,High,Verified
9,St. James,23,Employed,2534872,Low,Verified
10,Clarendon,23,Self-Employed,2451722,Medium,Verified
11,Manchester,48,Employed,7682749,Low,Pending
12,St. James,64,Self-Employed,5031797,High,Verified
13,Clarendon,35,Employed,7816611,Low,Pending
14,St. Catherine,61,Unemployed,4637478,Low,Verified
15,Manchester,43,Employed,7626036,Low,Pending
16,St. Catherine,60,Self-Employed,4824537,Low,Pending
17,Manchester,31,Employed,3580877,Medium,Verified
18,Clarendon,68,Unemployed,3420390,Low,Verified
19,Kingston,52,Self-Employed,3831863,Low,Verified
20,Manchester,56,Unemployed,1950311,High,Rejected
21,St. Catherine,53,Unemployed,2395776,Low,Verified
22,Clarendon,44,Self-Employed,2868535,Medium,Verified
23,Manchester,59,Unemployed,3917173,Low,Verified
24,Kingston,54,Unemployed,5625885,Low,Rejected
25,Kingston,48,Employed,4044811,High,Verified
26,St. James,57,Unemployed,6680823,Medium,Verified
27,St. James,27,Unemployed,3833932,Low,Verified
28,St. Catherine,24,Unemployed,1421747,High,Rejected
29,Manchester,57,Unemployed,3295902,High,Verified
30,Manchester,21,Self-Employed,3644517,High,Verified
31,St. James,21,Employed,2081258,Low,Verified
32,Manchester,67,Unemployed,5423190,Low,Verified
33,Manchester,40,Unemployed,5223475,Medium,Pending
34,Kingston,39,Self-Employed,4319567,Medium,Verified
35,St. James,49,Unemployed,5161862,Low,Verified
36,Clarendon,30,Self-Employed,1783061,Medium,Pending
37,St. James,38,Employed,1096412,Low,Rejected
38,Clarendon,48,Employed,7198794,Low,Verified
39,Kingston,55,Unemployed,3371703,Low,Verified
40,St. Catherine,63,Unemployed,3185632,Medium,Pending
41,Manchester,67,Unemployed,3687225,Low,Verified
42,Kingston,51,Self-Employed,4032860,High,Rejected
43,Manchester,47,Unemployed,6337983,Medium,Rejected
44,St. Catherine,31,Unemployed,7235834,Medium,Verified
45,St. Catherine,69,Employed,7268710,High,Rejected
46,Kingston,69,Unemployed,3495563,Medium,Verified
47,St. Catherine,58,Employed,2298118,High,Verified
48,Clarendon,25,Unemployed,2600831,Low,Verified
49,St. Catherine,28,Employed,2394362,Low,Pending
50,Manchester,54,Unemployed,4540214,Low,Verified
51,Manchester,68,Employed,2868710,Low,Verified
52,Manchester,32,Self-Employed,4446313,High,Rejected
53,Manchester,58,Employed,7118653,Low,Verified
54,Clarendon,21,Employed,7767535,Medium,Verified
55,St. James,51,Employed,1807705,Medium,Pending
56,Kingston,24,Unemployed,7200231,Medium,Pending
57,Manchester,69,Unemployed,5840360,Low,Rejected
58,St. Catherine,65,Unemployed,7956065,Medium,Rejected
59,Manchester,25,Self-Employed,7919852,Low,Verified
60,St. Catherine,50,Self-Employed,3582540,Low,Verified
61,St. Catherine,44,Employed,1116790,Medium,Verified
62,Manchester,23,Self-Employed,2716195,Medium,Verified
63,Clarendon,31,Employed,4347480,Low,Verified
64,St. Catherine,65,Employed,4587415,High,Pending
65,St. Catherine,24,Employed,845712,Low,Verified
66,Manchester,46,Self-Employed,3296641,Low,Verified
67,St. Catherine,47,Unemployed,5328268,Low,Verified
68,St. Catherine,66,Self-Employed,3022494,Medium,Verified
69,Manchester,63,Employed,2464092,Medium,Verified
70,Manchester,47,Employed,5330801,Low,Verified
71,Kingston,62,Self-Employed,1287707,Low,Verified
72,Clarendon,26,Employed,892091,Medium,Verified
73,Clarendon,35,Employed,6390938,Low,Pending
74,St. Catherine,50,Self-Employed,6224782,Low,Pending
75,Clarendon,62,Self-Employed,1693150,Medium,Verified
76,St. Catherine,57,Self-Employed,7501799,Low,Pending
77,Kingston,57,Employed,7306016,High,Verified
78,Manchester,62,Employed,1335827,Low,Verified
79,Manchester,57,Unemployed,1732196,Medium,Verified
80,Manchester,55,Unemployed,2849736,Low,Verified
81,Clarendon,43,Self-Employed,6318358,High,Pending
82,Kingston,26,Unemployed,4740063,Low,Verified
83,Clarendon,24,Employed,1221743,Medium,Rejected
84,Clarendon,38,Unemployed,2363482,Medium,Verified
85,Kingston,29,Employed,2430872,Low,Verified
86,Kingston,69,Self-Employed,2325068,Low,Rejected
87,Kingston,49,Self-Employed,6404342,Medium,Verified
88,Kingston,33,Employed,5414228,High,Verified
89,Manchester,67,Unemployed,6709100,Low,Verified
90,St. James,37,Self-Employed,6977822,Low,Verified
91,St. James,65,Self-Employed,2964452,High,Verified
92,Kingston,52,Unemployed,5385711,Low,Verified
93,St. James,68,Unemployed,4934777,High,Verified
94,St. James,42,Employed,5801578,Medium,Verified
95,Kingston,24,Unemployed,4137013,Medium,Verified
96,St. James,25,Unemployed,4774532,Low,Verified
97,Clarendon,57,Unemployed,4044699,Low,Verified
98,St. Catherine,61,Employed,3883562,Medium,Verified
99,St. Catherine,69,Employed,2935896,High,Verified
100,Kingston,33,Self-Employed,5372530,High,Verified
101,Manchester,54,Employed,3216738,Low,Verified
102,Kingston,65,Self-Employed,6958382,Low,Verified
103,Manchester,42,Unemployed,3507430,Low,Verified
104,St. Catherine,43,Self-Employed,2756678,High,Verified
105,Kingston,23,Self-Employed,7460517,Low,Verified
106,Clarendon,62,Unemployed,3132127,Low,Verified
107,St. James,54,Self-Employed,3425090,Low,Verified
108,Manchester,52,Employed,7660861,Low,Verified
109,St. James,65,Employed,2726252,High,Verified
110,St. James,69,Employed,2874278,Medium,Verified
111,Kingston,41,Employed,2818852,Low,Verified
112,St. James,66,Self-Employed,5783926,Low,Rejected
113,Clarendon,64,Self-Employed,2945265,Low,Verified
114,St. James,41,Unemployed,5134165,Low,Pending
115,Kingston,64,Self-Employed,1880701,Low,Pending
116,Clarendon,31,Self-Employed,2078343,Medium,Verified
117,St. Catherine,59,Self-Employed,7483600,Low,Verified
118,St. James,24,Unemployed,3832115,Low,Verified
