Application_ID,Customer_ID,Application_Date,Loan_Amount,Loan_Type,Channel,Status,Decision_Time_Hours
1,1673,2024-10-10,1175091,Mortgage,Branch,Approved,32
2,2270,2022-08-25,989515,SME,Branch,Approved,51
3,2628,2022-02-05,2084509,Personal,Branch,Approved,46
4,368,2023-07-25,1912146,SME,Online,Approved,53
5,1801,2025-02-08,787693,Personal,Branch,Approved,44
6,390,2024-09-28,1259940,Personal,Branch,Approved,51
7,270,2021-05-29,738100,Mortgage,Branch,Approved,26
8,842,2021-07-08,2242858,Personal,Branch,Pending,52
9,1323,2022-02-19,675087,Mortgage,Online,Approved,34
10,89,2024-05-17,2862660,Personal,Branch,Approved,48
11,278,2021-07-25,1602096,Personal,Online,Approved,35
12,1062,2023-10-11,1558071,Personal,Online,Approved,61
13,978,2024-11-14,1166777,Mortgage,Branch,Approved,85
14,949,2022-10-17,608377,Mortgage,Branch,Approved,66
15,1082,2024-01-02,464758,Mortgage,Branch,Rejected,60
16,2420,2021-07-03,914356,SME,Online,Rejected,51
17,2370,2022-03-11,772810,Mortgage,Online,Approved,37
18,420,2022-07-21,1880261,Personal,Branch,Rejected,43
19,1680,2021-03-18,1932413,SME,Online,Rejected,51
20,615,2023-10-28,2724983,SME,Online,Pending,48
21,1585,2022-08-31,704730,Personal,Branch,Approved,9
22,811,2024-10-10,1491819,Personal,Branch,Approved,44
23,750,2024-04-11,2525132,Personal,Branch,Approved,50
24,2559,2024-10-01,697131,Mortgage,Online,Approved,34
25,691,2022-09-29,3036204,Personal,Branch,Approved,55
26,1899,2021-12-24,1667981,SME,Branch,Approved,43
27,2557,2022-11-27,1500272,Mortgage,Branch,Approved,58
28,546,2021-04-23,143237,SME,Branch,Approved,52
29,1311,2021-06-04,2756420,Personal,Branch,Rejected,46
30,1703,2022-01-26,1564011,SME,Branch,Rejected,50
31,1224,2022-12-12,2744556,Mortgage,Branch,Rejected,63
32,936,2025-03-04,3394021,Personal,Online,Pending,47
33,2029,2024-12-03,950262,Mortgage,Branch,Pending,69
34,1275,2021-01-07,1106298,SME,Online,Approved,51
35,2714,2024-02-19,4889371,SME,Online,Approved,42
36,1911,2024-11-22,3261663,Personal,Branch,Rejected,35
37,977,2025-03-04,1586630,Mortgage,Online,Rejected,40
38,2383,2022-04-10,2111718,Mortgage,Branch,Rejected,71
39,2998,2022-11-18,2031430,Mortgage,Branch,Approved,50
40,1338,2024-08-25,4842746,SME,Online,Approved,29
41,1554,2025-12-13,1741089,Personal,Online,Approved,36
42,2697,2025-02-17,2383997,Mortgage,Branch,Rejected,52
43,1470,2021-12-06,4070578,Mortgage,Online,Approved,62
44,126,2022-10-19,3050319,Personal,Branch,Rejected,70
45,991,2023-10-15,4156561,Mortgage,Branch,Approved,44
46,2566,2023-04-26,1595734,Personal,Online,Approved,42
47,1242,2025-10-09,1645805,Personal,Online,Approved,59
48,2482,2023-03-13,231235,Mortgage,Online,Approved,62
49,1095,2024-04-13,1002997,SME,Branch,Approved,54
50,1594,2022-03-23,4194664,Personal,Online,Rejected,29
51,1071,2022-05-20,780050,Mortgage,Online,Pending,52
52,1702,2022-11-29,3622591,Mortgage,Branch,Approved,51
53,1467,2023-07-05,1059012,Mortgage,Branch,Approved,49
54,2031,2021-12-10,2602632,SME,Branch,Pending,56
55,926,2021-01-03,651719,Mortgage,Online,Approved,48
56,2600,2023-08-31,4818643,SME,Online,Rejected,75
57,2113,2022-07-28,2570352,Mortgage,Online,Approved,39
58,2137,2025-08-30,1705869,Mortgage,Online,Approved,38
59,1577,2022-05-15,2206908,SME,Branch,Approved,66
60,229,2021-05-30,4816274,SME,Branch,Approved,64
61,2575,2021-11-29,3056649,SME,Branch,Approved,63
62,1702,2022-06-08,3706743,Personal,Online,Approved,40
63,423,2022-12-17,240017,Mortgage,Branch,Approved,24
64,708,2025-03-02,2701740,Personal,Online,Approved,37
65,1021,2023-08-08,4743138,Personal,Branch,Rejected,85
66,32,2021-06-26,2499941,Mortgage,Branch,Approved,45
67,2316,2022-08-20,3474067,SME,Branch,Approved,51
68,1352,2024-01-27,4376808,SME,Online,Approved,41
69,1749,2021-05-13,4116284,SME,Branch,Pending,31
70,1443,2022-04-17,3282825,Personal,Branch,Approved,52
71,2349,2021-11-02,2639521,SME,Online,Pending,37
72,1010,2023-05-29,1811638,Mortgage,Branch,Approved,39
73,1849,2024-01-26,3341069,Personal,Online,Approved,41
74,1378,2021-01-19,3664936,SME,Online,Approved,34
75,1427,2025-08-21,1385423,SME,Branch,Rejected,38
76,2527,2025-12-22,486804,Personal,Branch,Approved,62
77,1160,2022-06-15,1094670,Personal,Online,Pending,43
78,2754,2021-07-15,894609,Mortgage,Branch,Approved,51
79,1797,2025-03-16,676115,Personal,Branch,Approved,36
80,181,2024-01-06,458773,Mortgage,Branch,Approved,61
